id;transaction_date;quantity_sold;start_of_day;waste;waste_percentage;sales_outlet_id;product_id
1285;06.10.2019;83;106;23;78;230;3426
1286;12.05.2019;75;87;12;86;4226;3379
1287;03.02.2020;100;102;2;98;2183;2346
1288;22.01.2020;23;50;27;46;4636;1358
1289;03.11.2019;77;106;29;72;743;3153
1290;11.05.2019;92;108;16;85;4825;3051
1291;17.11.2019;60;71;11;84;4224;733
1292;27.12.2019;33;44;11;75;814;2483
1293;19.02.2020;82;108;26;75;2737;1684
1294;12.06.2019;88;100;12;88;3217;1411
1295;08.05.2019;35;39;4;89;3363;3778
1296;23.08.2019;2;24;22;8;4576;1594
1297;22.07.2019;57;95;38;60;2196;3738
1298;14.05.2019;45;70;25;64;1319;3411
1299;01.10.2019;45;69;24;65;3581;432
1300;20.06.2019;34;44;10;77;1404;1725
1301;18.03.2020;38;59;21;64;834;1083
1302;05.06.2019;28;34;6;82;1592;2707
1303;09.07.2019;20;56;36;35;3392;2765
1304;14.01.2020;27;42;15;64;3055;308
1305;28.10.2019;41;44;3;93;2021;3662
1306;14.07.2019;39;78;39;50;2728;677
1307;14.06.2019;12;47;35;25;3640;4504
1308;25.09.2019;83;110;27;75;4901;3631
1309;19.11.2019;93;125;32;74;3380;108
1310;04.11.2019;44;64;20;68;2718;1282
1311;23.08.2019;29;45;16;64;3160;160
1312;23.09.2019;28;49;21;57;2195;3654
1313;05.03.2020;44;70;26;62;2950;2398
1314;15.04.2019;32;41;9;78;3954;2807
1315;14.01.2020;33;70;37;47;3898;4317
1316;03.03.2020;68;69;1;98;3736;2973
1317;20.10.2019;49;67;18;73;4839;2580
1318;27.05.2019;5;38;33;13;890;4375
1319;18.07.2019;61;62;1;98;2341;3827
1320;07.09.2019;38;68;30;55;4807;2986
1321;29.08.2019;85;90;5;94;1538;1661
1322;01.12.2019;89;98;9;90;1948;1649
1323;28.01.2020;48;70;22;68;2202;3882
1324;12.03.2020;84;113;29;74;1944;1347
1325;21.04.2019;66;90;24;73;2604;695
1326;19.12.2019;73;101;28;72;4784;4328
1327;17.02.2020;49;85;36;57;1691;1810
1328;21.08.2019;100;131;31;76;4459;802
1329;23.03.2020;54;93;39;58;3749;738
1330;05.01.2020;11;14;3;78;1606;4348
1331;10.03.2020;20;43;23;46;4607;2142
1332;26.12.2019;66;103;37;64;554;19
1333;20.11.2019;46;59;13;77;3876;1774
1334;13.02.2020;91;119;28;76;767;3705
1335;12.02.2020;49;78;29;62;2910;998
1336;31.05.2019;59;83;24;71;2512;3864
1337;14.04.2019;22;45;23;48;1297;1632
1338;05.05.2019;11;37;26;29;2049;4810
1339;05.05.2019;76;111;35;68;3328;836
1340;07.06.2019;82;86;4;95;4056;2979
1341;06.09.2019;89;97;8;91;1347;2712
1342;03.08.2019;56;87;31;64;3695;216
1343;05.08.2019;10;11;1;90;455;2557
1344;19.10.2019;24;48;24;50;427;3917
1345;19.09.2019;77;90;13;85;3336;4579
1346;03.09.2019;56;96;40;58;4699;3271
1347;07.02.2020;56;81;25;69;2650;1420
1348;04.09.2019;23;57;34;40;2792;2221
1349;01.03.2020;77;105;28;73;4415;1667
1350;06.09.2019;93;129;36;72;50;804
1351;17.09.2019;100;102;2;98;289;2470
1352;04.09.2019;81;113;32;71;843;534
1353;16.05.2019;69;101;32;68;2659;2543
1354;20.08.2019;92;106;14;86;2845;4998
1355;23.11.2019;58;85;27;68;3744;2757
1356;02.01.2020;55;72;17;76;610;3313
1357;13.01.2020;24;57;33;42;2949;856
1358;14.02.2020;6;13;7;46;2550;4883
1359;18.03.2020;39;68;29;57;4836;327
1360;05.05.2019;93;113;20;82;3522;3444
1361;03.12.2019;71;77;6;92;3654;1727
1362;13.12.2019;73;90;17;81;4345;4676
1363;04.05.2019;31;33;2;93;3895;4213
1364;06.11.2019;83;89;6;93;4242;2586
1365;05.10.2019;15;24;9;62;226;3588
1366;12.09.2019;22;34;12;64;60;3473
1367;24.07.2019;99;110;11;90;2107;800
1368;04.07.2019;6;21;15;28;1232;2254
1369;29.08.2019;2;12;10;16;4212;1639
1370;21.05.2019;10;26;16;38;4582;3747
1371;16.05.2019;37;55;18;67;3284;201
1372;04.06.2019;44;82;38;53;4919;666
1373;12.08.2019;29;48;19;60;817;1529
1374;23.05.2019;64;89;25;71;259;3124
1375;11.08.2019;27;64;37;42;4824;4810
1376;30.10.2019;40;73;33;54;611;2098
1377;29.06.2019;91;119;28;76;1271;2282
1378;03.05.2019;55;79;24;69;4346;1244
1379;16.10.2019;81;85;4;95;3347;3004
1380;25.04.2019;2;3;1;66;3652;3011
1381;11.08.2019;6;17;11;35;3895;206
1382;28.06.2019;36;51;15;70;3085;1992
1383;02.01.2020;38;61;23;62;1536;2851
1384;05.06.2019;18;25;7;72;4366;2053
1385;16.11.2019;28;58;30;48;3317;4198
1386;05.01.2020;100;106;6;94;24;4720
1387;17.08.2019;94;107;13;87;4796;4715
1388;16.09.2019;91;103;12;88;4112;4471
1389;23.07.2019;75;79;4;94;830;1834
1390;24.12.2019;21;49;28;42;985;493
1391;23.09.2019;91;119;28;76;4270;804
1392;09.10.2019;43;59;16;72;1881;2105
1393;03.07.2019;97;123;26;78;4033;4089
1394;02.11.2019;81;99;18;81;1891;1052
1395;10.09.2019;59;61;2;96;1197;2730
1396;24.02.2020;77;109;32;70;680;3375
1397;02.03.2020;50;73;23;68;203;1294
1398;10.03.2020;52;72;20;72;841;4785
1399;19.12.2019;9;38;29;23;1321;3535
1400;20.08.2019;51;53;2;96;473;1909
1401;18.08.2019;81;120;39;67;3060;3180
1402;22.12.2019;26;55;29;47;1327;3274
1403;01.07.2019;37;44;7;84;4574;1663
1404;29.06.2019;1;37;36;2;4620;1463
1405;25.10.2019;39;72;33;54;4470;1609
1406;13.07.2019;77;98;21;78;3010;3249
1407;25.10.2019;85;91;6;93;4682;2541
1408;18.08.2019;10;18;8;55;3126;4332
1409;29.10.2019;2;33;31;6;2307;427
1410;09.03.2020;66;79;13;83;337;3014
1411;22.04.2019;34;67;33;50;3993;2988
1412;25.07.2019;56;74;18;75;543;2300
1413;22.06.2019;79;110;31;71;484;4761
1414;29.09.2019;45;48;3;93;1324;2579
1415;24.04.2019;31;41;10;75;1587;1556
1416;16.02.2020;64;77;13;83;1358;4936
1417;29.10.2019;26;50;24;52;3302;2860
1418;04.01.2020;60;99;39;60;4210;4048
1419;19.05.2019;82;116;34;70;4546;657
1420;30.05.2019;34;64;30;53;4168;3931
1421;23.01.2020;69;97;28;71;3525;2854
1422;11.09.2019;28;55;27;50;2365;16
1423;04.08.2019;84;103;19;81;1417;2227
1424;15.07.2019;95;127;32;74;4789;3096
1425;08.12.2019;86;105;19;81;4942;3785
1426;20.09.2019;17;45;28;37;568;1763
1427;29.01.2020;69;85;16;81;3272;3443
1428;14.02.2020;19;33;14;57;1313;3294
1429;21.11.2019;41;59;18;69;1755;3472
1430;13.03.2020;45;62;17;72;1250;1290
1431;01.11.2019;62;99;37;62;4754;2059
1432;10.08.2019;24;39;15;61;3376;2479
1433;01.09.2019;19;49;30;38;1473;4220
1434;06.03.2020;35;49;14;71;2167;2807
1435;05.11.2019;83;86;3;96;1454;308
1436;19.12.2019;90;114;24;78;2259;777
1437;27.05.2019;76;100;24;76;358;2989
1438;14.09.2019;7;8;1;87;4727;1226
1439;07.09.2019;78;100;22;78;1365;2204
1440;12.05.2019;96;132;36;72;2284;2996
1441;16.10.2019;72;110;38;65;2602;3919
1442;18.01.2020;51;80;29;63;58;2056
1443;06.10.2019;32;58;26;55;2938;2240
1444;12.08.2019;3;38;35;7;4220;2841
1445;26.02.2020;89;92;3;96;1596;4214
1446;06.08.2019;31;45;14;68;662;190
1447;21.05.2019;41;69;28;59;2969;3678
1448;03.04.2019;69;82;13;84;4188;2820
1449;28.02.2020;97;116;19;83;2017;2585
1450;12.11.2019;5;40;35;12;4980;524
1451;07.11.2019;92;112;20;82;2810;253
1452;10.05.2019;72;108;36;66;3881;3619
1453;19.01.2020;57;81;24;70;3429;2883
1454;13.06.2019;89;99;10;89;2689;600
1455;24.09.2019;29;68;39;42;2873;3056
1456;31.05.2019;7;30;23;23;2491;4370
1457;28.10.2019;51;74;23;68;288;200
1458;30.07.2019;5;22;17;22;2298;3017
1459;11.02.2020;75;114;39;65;3698;4599
1460;12.07.2019;26;45;19;57;2301;3365
1461;14.01.2020;58;93;35;62;1833;1330
1462;27.02.2020;58;66;8;87;4721;4562
1463;09.10.2019;36;71;35;50;3199;4883
1464;22.03.2020;71;109;38;65;4765;775
1465;11.06.2019;31;48;17;64;801;4848
1466;20.06.2019;88;111;23;79;3857;3132
1467;14.07.2019;70;101;31;69;4379;4091
1468;07.08.2019;99;138;39;71;3304;814
1469;12.04.2019;49;74;25;66;854;3799
1470;21.06.2019;52;88;36;59;2637;4611
1471;02.03.2020;57;59;2;96;3169;2046
1472;03.04.2019;46;63;17;73;1177;4633
1473;01.02.2020;23;35;12;65;1248;3937
1474;30.08.2019;57;69;12;82;2900;1168
1475;08.06.2019;90;111;21;81;1237;4885
1476;05.10.2019;64;69;5;92;383;2934
1477;16.05.2019;16;42;26;38;3296;4539
1478;18.07.2019;51;72;21;70;594;152
1479;20.03.2020;42;59;17;71;1859;4367
1480;07.08.2019;83;102;19;81;4136;1655
1481;04.11.2019;81;82;1;98;884;3519
1482;09.09.2019;45;52;7;86;1750;2718
1483;25.08.2019;47;54;7;87;1375;1305
1484;17.06.2019;78;85;7;91;201;4212
1485;28.08.2019;27;47;20;57;1212;2469
1486;08.08.2019;76;85;9;89;4036;3461
1487;20.02.2020;47;84;37;55;2267;3505
1488;02.05.2019;44;78;34;56;73;3567
1489;12.03.2020;65;76;11;85;3141;317
1490;25.06.2019;76;113;37;67;4748;3859
1491;10.03.2020;76;94;18;80;380;517
1492;25.04.2019;43;53;10;81;4534;291
1493;13.03.2020;26;52;26;50;3298;2194
1494;19.02.2020;92;102;10;90;4206;2812
1495;26.04.2019;53;57;4;92;151;2836
1496;18.05.2019;14;26;12;53;1177;4454
1497;06.07.2019;40;53;13;75;1816;2585
1498;18.03.2020;14;18;4;77;710;1192
1499;01.05.2019;86;88;2;97;1327;808
1500;04.08.2019;14;25;11;56;4228;196
1501;05.06.2019;17;21;4;80;2596;3178
1502;03.04.2019;58;67;9;86;4239;1688
1503;20.08.2019;89;107;18;83;1679;865
1504;19.10.2019;1;17;16;5;2610;4766
1505;13.02.2020;70;100;30;70;2825;1022
1506;10.02.2020;70;72;2;97;2780;2361
1507;02.08.2019;19;55;36;34;4575;1052
1508;19.11.2019;61;80;19;76;1237;285
1509;21.01.2020;62;64;2;96;986;827
1510;27.09.2019;43;67;24;64;911;2303
1511;02.09.2019;91;119;28;76;1900;35
1512;20.11.2019;55;68;13;80;2653;2389
1513;09.09.2019;12;47;35;25;2910;2402
1514;31.01.2020;54;68;14;79;4755;2135
1515;10.12.2019;49;73;24;67;1940;696
1516;24.04.2019;82;111;29;73;4215;300
1517;23.08.2019;82;109;27;75;4214;3042
1518;31.08.2019;72;80;8;90;3963;3045
1519;06.01.2020;14;29;15;48;3762;2805
1520;30.08.2019;14;53;39;26;1604;1442
1521;19.03.2020;23;38;15;60;4595;3804
1522;10.05.2019;56;84;28;66;1293;1738
1523;05.09.2019;26;43;17;60;2420;711
1524;17.10.2019;7;10;3;70;4779;3352
1525;31.10.2019;70;99;29;70;1407;3515
1526;10.11.2019;57;95;38;60;923;2850
1527;03.11.2019;80;83;3;96;4041;736
1528;22.11.2019;80;118;38;67;4786;3919
1529;10.01.2020;98;133;35;73;4629;4458
1530;15.03.2020;75;114;39;65;4297;4262
1531;24.12.2019;31;51;20;60;4225;3210
1532;12.05.2019;34;63;29;53;4392;2832
1533;09.07.2019;1;26;25;3;980;4661
1534;11.11.2019;50;76;26;65;1403;2637
1535;22.07.2019;65;86;21;75;1266;3373
1536;13.03.2020;2;13;11;15;3497;4418
1537;20.03.2020;49;85;36;57;3484;1125
1538;23.10.2019;24;29;5;82;4440;4402
1539;03.08.2019;64;77;13;83;465;3715
1540;15.03.2020;83;107;24;77;124;1360
1541;20.09.2019;10;23;13;43;452;4491
1542;09.02.2020;1;6;5;16;746;3947
1543;04.04.2019;90;102;12;88;157;3761
1544;16.05.2019;45;56;11;80;475;880
1545;28.12.2019;91;111;20;81;2560;4420
1546;04.04.2019;49;52;3;94;1682;2812
1547;03.01.2020;67;92;25;72;2914;1033
1548;05.10.2019;63;74;11;85;419;2308
1549;27.05.2019;90;100;10;90;2171;3334
1550;09.01.2020;71;90;19;78;493;3803
1551;23.02.2020;92;112;20;82;4564;3566
1552;29.04.2019;31;41;10;75;1634;916
1553;23.12.2019;45;49;4;91;271;1607
1554;15.04.2019;77;93;16;82;1610;4062
1555;03.06.2019;9;33;24;27;3784;1009
1556;27.08.2019;14;45;31;31;9;25
1557;23.11.2019;60;93;33;64;4968;3301
1558;09.07.2019;74;87;13;85;2549;4784
1559;25.07.2019;21;36;15;58;339;4026
1560;21.09.2019;1;18;17;5;4161;3854
1561;30.01.2020;25;37;12;67;83;3668
1562;11.04.2019;22;59;37;37;4942;3928
1563;14.02.2020;91;122;31;74;3688;2639
1564;25.12.2019;82;118;36;69;2733;3835
1565;06.05.2019;15;34;19;44;636;1397
1566;05.12.2019;8;32;24;25;1812;4238
1567;21.12.2019;49;63;14;77;3697;4453
1568;25.09.2019;36;60;24;60;2212;2139
1569;23.07.2019;8;13;5;61;3743;574
1570;17.06.2019;98;105;7;93;2886;1972
1571;20.08.2019;47;77;30;61;3450;424
1572;24.08.2019;86;124;38;69;1217;4226
1573;29.03.2019;76;113;37;67;2409;3218
1574;09.05.2019;24;40;16;60;310;4891
1575;31.10.2019;19;42;23;45;3136;2479
1576;19.05.2019;27;36;9;75;3605;1632
1577;13.02.2020;22;23;1;95;2495;4911
1578;08.04.2019;60;85;25;70;3763;2247
1579;17.05.2019;54;79;25;68;3728;2211
1580;21.01.2020;50;79;29;63;3192;4040
1581;19.10.2019;66;78;12;84;3790;743
1582;23.01.2020;36;46;10;78;4961;1697
1583;27.02.2020;70;110;40;63;4853;4511
1584;29.07.2019;66;83;17;79;885;3534
1585;12.11.2019;83;120;37;69;1933;2085
1586;16.06.2019;42;47;5;89;3062;1898
1587;15.04.2019;55;67;12;82;1168;2476
1588;12.04.2019;53;91;38;58;634;3635
1589;13.11.2019;19;48;29;39;3442;2749
1590;30.07.2019;54;67;13;80;4916;2383
1591;17.08.2019;68;103;35;66;1046;3547
1592;03.06.2019;54;69;15;78;2023;220
1593;05.12.2019;79;82;3;96;1810;3422
1594;19.09.2019;90;120;30;75;4216;4765
1595;11.04.2019;44;81;37;54;548;2399
1596;08.12.2019;64;77;13;83;4594;1864
1597;29.06.2019;11;17;6;64;2386;200
1598;15.08.2019;53;61;8;86;1827;4409
1599;30.07.2019;86;87;1;98;1965;442
1600;12.02.2020;67;71;4;94;3474;2571
1601;22.06.2019;86;124;38;69;1582;2763
1602;17.04.2019;5;25;20;20;2767;2464
1603;10.02.2020;80;98;18;81;2061;535
1604;31.12.2019;30;68;38;44;4499;4969
1605;17.07.2019;26;28;2;92;1278;1449
1606;18.08.2019;17;56;39;30;1505;151
1607;25.04.2019;19;45;26;42;2671;3396
1608;24.06.2019;61;93;32;65;3945;4108
1609;10.03.2020;85;108;23;78;1083;453
1610;03.02.2020;78;109;31;71;2443;376
1611;17.08.2019;46;72;26;63;3060;397
1612;04.04.2019;93;117;24;79;3599;3480
1613;24.06.2019;40;61;21;65;526;35
1614;18.08.2019;73;113;40;64;3323;3651
1615;16.09.2019;19;52;33;36;2765;1869
1616;12.01.2020;82;96;14;85;4460;3741
1617;16.03.2020;37;52;15;71;1214;3937
1618;06.03.2020;86;104;18;82;1461;2781
1619;16.01.2020;75;100;25;75;964;2204
1620;25.07.2019;98;108;10;90;3647;3627
1621;23.09.2019;2;29;27;6;733;4096
1622;19.03.2020;42;71;29;59;979;2846
1623;25.04.2019;57;61;4;93;224;841
1624;18.04.2019;39;66;27;59;2;3546
1625;12.11.2019;92;94;2;97;946;2243
1626;21.11.2019;9;39;30;23;1690;427
1627;06.11.2019;42;78;36;53;4375;3434
1628;18.02.2020;12;35;23;34;2816;67
1629;29.04.2019;22;42;20;52;792;3542
1630;10.11.2019;65;77;12;84;1358;653
1631;14.02.2020;39;48;9;81;2746;2874
1632;08.04.2019;33;46;13;71;4317;1017
1633;21.03.2020;39;52;13;75;1756;4405
1634;16.10.2019;73;102;29;71;3713;3992
1635;13.10.2019;89;96;7;92;86;1726
1636;27.05.2019;49;69;20;71;4495;2339
1637;07.03.2020;82;97;15;84;4312;1289
1638;10.10.2019;13;47;34;27;617;1802
1639;25.05.2019;27;40;13;67;3918;2517
1640;08.02.2020;44;71;27;61;3907;4454
1641;30.11.2019;27;32;5;84;4504;2295
1642;17.02.2020;21;53;32;39;2349;635
1643;12.01.2020;86;124;38;69;4039;3593
1644;10.07.2019;15;55;40;27;616;213
1645;26.10.2019;27;62;35;43;2958;3659
1646;24.11.2019;69;104;35;66;3357;4659
1647;21.03.2020;27;35;8;77;2722;1584
1648;31.08.2019;53;79;26;67;785;1615
1649;01.09.2019;40;50;10;80;1837;598
1650;08.03.2020;55;93;38;59;3341;199
1651;29.03.2019;58;76;18;76;2744;3045
1652;13.12.2019;8;19;11;42;2526;4646
1653;12.05.2019;23;54;31;42;545;3710
1654;31.08.2019;16;41;25;39;3482;4426
1655;06.06.2019;31;61;30;50;919;1874
1656;16.08.2019;68;103;35;66;4976;157
1657;25.06.2019;33;66;33;50;3436;4114
1658;22.01.2020;71;103;32;68;1965;4048
1659;24.04.2019;50;76;26;65;3471;2811
1660;31.03.2019;41;45;4;91;2024;2837
1661;11.11.2019;4;44;40;9;1931;3631
1662;09.01.2020;89;103;14;86;3925;4585
1663;06.07.2019;30;62;32;48;942;1802
1664;16.02.2020;56;76;20;73;1443;3637
1665;17.06.2019;31;47;16;65;1183;3462
1666;05.05.2019;56;74;18;75;312;403
1667;24.08.2019;50;73;23;68;791;4705
1668;10.03.2020;40;45;5;88;1857;4712
1669;30.05.2019;28;64;36;43;4612;2399
1670;28.09.2019;11;45;34;24;4923;2241
1671;14.11.2019;19;34;15;55;729;2193
1672;21.11.2019;12;35;23;34;1891;836
1673;26.02.2020;78;94;16;82;2455;448
1674;12.08.2019;8;41;33;19;4431;270
1675;25.11.2019;70;106;36;66;4284;4871
1676;20.06.2019;49;50;1;98;3771;2847
1677;22.06.2019;89;98;9;90;3352;1210
1678;13.03.2020;4;21;17;19;4875;1271
1679;05.02.2020;73;89;16;82;2929;4174
1680;08.10.2019;62;81;19;76;2881;874
1681;05.03.2020;99;121;22;81;4913;2549
1682;03.02.2020;2;38;36;5;3246;2994
1683;26.10.2019;44;78;34;56;2186;289
1684;18.12.2019;7;47;40;14;3124;3986
1685;20.05.2019;25;55;30;45;4181;4853
1686;19.09.2019;14;53;39;26;1998;1192
1687;24.05.2019;22;50;28;44;216;3852
1688;17.01.2020;97;111;14;87;3221;518
1689;05.02.2020;60;100;40;60;4908;2871
1690;15.05.2019;72;74;2;97;2695;2533
1691;05.09.2019;64;71;7;90;179;3075
1692;19.12.2019;62;87;25;71;596;2230
1693;14.08.2019;8;12;4;66;4279;2514
1694;11.02.2020;6;45;39;13;530;1444
1695;18.12.2019;60;80;20;75;2136;4338
1696;06.03.2020;12;16;4;75;3243;390
1697;27.10.2019;48;62;14;77;3400;3273
1698;08.06.2019;64;94;30;68;1883;793
1699;23.05.2019;45;59;14;76;1196;4284
1700;20.11.2019;100;125;25;80;184;270
1701;26.07.2019;35;75;40;46;1522;4044
1702;10.10.2019;50;89;39;56;1106;2682
1703;12.06.2019;56;74;18;75;612;4238
1704;23.12.2019;27;32;5;84;4289;4544
1705;06.01.2020;10;39;29;25;3952;4242
1706;24.06.2019;61;72;11;84;4007;2342
1707;25.12.2019;90;105;15;85;2642;2138
1708;17.04.2019;39;78;39;50;4524;1460
1709;13.01.2020;90;128;38;70;3567;2256
1710;08.03.2020;15;51;36;29;1032;1265
1711;04.08.2019;92;104;12;88;1001;2907
1712;07.12.2019;38;40;2;95;2205;2449
1713;11.08.2019;28;53;25;52;4343;1683
1714;07.09.2019;4;17;13;23;1317;1022
1715;07.11.2019;37;57;20;64;4737;1087
1716;19.05.2019;84;90;6;93;2620;316
1717;01.11.2019;49;61;12;80;3834;388
1718;15.08.2019;94;99;5;94;1450;905
1719;24.07.2019;93;123;30;75;4445;2805
1720;26.12.2019;35;36;1;97;216;2645
1721;01.06.2019;65;87;22;74;4624;2308
1722;10.08.2019;79;89;10;88;4832;1020
1723;27.10.2019;18;48;30;37;8;4748
1724;28.08.2019;14;40;26;35;3341;4753
1725;24.02.2020;12;52;40;23;2668;3933
1726;09.05.2019;80;103;23;77;2632;4377
1727;15.10.2019;94;109;15;86;3025;2620
1728;13.09.2019;22;26;4;84;4738;2890
1729;10.06.2019;37;56;19;66;2573;3779
1730;10.09.2019;46;81;35;56;3830;928
1731;04.03.2020;17;20;3;85;1986;1188
1732;14.06.2019;40;73;33;54;1593;2171
1733;25.03.2020;1;25;24;4;1178;3526
1734;27.10.2019;81;120;39;67;2129;3592
1735;27.07.2019;10;45;35;22;1595;885
1736;16.01.2020;52;58;6;89;1730;2225
1737;03.01.2020;21;35;14;60;3051;1478
1738;25.08.2019;81;96;15;84;3530;4140
1739;04.10.2019;37;43;6;86;494;4960
1740;02.07.2019;7;39;32;17;34;1623
1741;18.01.2020;3;15;12;20;4659;2827
1742;06.01.2020;76;79;3;96;2949;2107
1743;17.08.2019;9;25;16;36;2109;1036
1744;03.02.2020;20;26;6;76;1050;3445
1745;15.06.2019;88;122;34;72;1084;4628
1746;23.08.2019;12;38;26;31;732;642
1747;22.01.2020;72;76;4;94;859;2342
1748;17.07.2019;69;99;30;69;3940;2201
1749;07.08.2019;89;105;16;84;860;4436
1750;03.01.2020;47;87;40;54;4352;3238
1751;18.11.2019;35;72;37;48;4485;2781
1752;05.01.2020;69;86;17;80;4448;611
1753;21.01.2020;68;78;10;87;1321;4711
1754;08.06.2019;50;53;3;94;3278;2910
1755;11.12.2019;44;67;23;65;801;3196
1756;17.07.2019;12;49;37;24;999;4260
1757;02.10.2019;99;129;30;76;4420;4754
1758;24.08.2019;33;64;31;51;207;3247
1759;24.12.2019;70;92;22;76;1512;1530
1760;31.10.2019;22;26;4;84;4130;4857
1761;03.11.2019;75;110;35;68;3803;815
1762;05.09.2019;34;65;31;52;2391;2875
1763;05.11.2019;82;96;14;85;1626;3122
1764;25.04.2019;16;53;37;30;2239;3538
1765;20.06.2019;86;94;8;91;3100;3171
1766;29.06.2019;87;120;33;72;1368;3471
1767;16.11.2019;3;12;9;25;480;1308
1768;07.07.2019;72;94;22;76;1342;1079
1769;06.12.2019;40;67;27;59;2527;4048
1770;17.04.2019;34;74;40;45;2701;802
1771;25.01.2020;36;44;8;81;2389;2727
1772;19.01.2020;36;49;13;73;2457;1696
1773;10.04.2019;16;52;36;30;3903;3100
1774;23.09.2019;23;30;7;76;3015;3242
1775;07.01.2020;98;113;15;86;2738;1807
1776;07.06.2019;24;61;37;39;3517;342
1777;13.05.2019;19;37;18;51;4702;149
1778;24.07.2019;23;57;34;40;1826;1351
1779;06.11.2019;96;97;1;98;322;485
1780;08.09.2019;71;76;5;93;2021;1873
1781;08.07.2019;31;66;35;46;2325;4780
1782;31.05.2019;91;111;20;81;3125;2612
1783;15.05.2019;39;51;12;76;1039;1746
1784;13.01.2020;35;60;25;58;4238;3925
1785;13.07.2019;78;100;22;78;1088;3986
1786;21.06.2019;79;102;23;77;71;3106
1787;25.04.2019;14;18;4;77;2997;1167
1788;21.05.2019;2;38;36;5;1943;2963
1789;19.12.2019;56;72;16;77;4869;2505
1790;31.07.2019;25;27;2;92;2904;852
1791;27.08.2019;35;40;5;87;4091;3008
1792;24.08.2019;38;54;16;70;4672;717
1793;13.07.2019;42;63;21;66;47;2420
1794;18.03.2020;59;62;3;95;1771;1757
1795;02.10.2019;3;27;24;11;3356;811
1796;01.02.2020;18;30;12;60;195;949
1797;23.11.2019;58;64;6;90;1379;2281
1798;02.07.2019;78;84;6;92;499;13
1799;18.05.2019;66;81;15;81;2518;47
1800;18.10.2019;88;102;14;86;4569;849
1801;05.03.2020;66;74;8;89;536;322
1802;03.12.2019;36;60;24;60;1931;4427
1803;16.03.2020;94;129;35;72;4688;4715
1804;09.05.2019;87;108;21;80;2387;3276
1805;16.12.2019;55;69;14;79;3407;3703
1806;10.02.2020;96;104;8;92;1085;2202
1807;29.07.2019;25;26;1;96;1129;2721
1808;22.02.2020;37;51;14;72;2395;349
1809;02.02.2020;27;64;37;42;2527;3492
1810;22.02.2020;38;62;24;61;770;3823
1811;01.05.2019;7;36;29;19;517;3349
1812;09.09.2019;60;67;7;89;4582;823
1813;15.01.2020;90;91;1;98;1811;4848
1814;31.08.2019;12;14;2;85;4608;2447
1815;23.07.2019;96;121;25;79;1757;1321
1816;26.07.2019;10;48;38;20;2941;1199
1817;19.05.2019;59;90;31;65;4719;4099
1818;02.02.2020;22;52;30;42;3393;32
1819;04.05.2019;17;53;36;32;913;1954
1820;20.04.2019;96;120;24;80;4227;2523
1821;21.08.2019;47;77;30;61;1237;1023
1822;08.03.2020;13;39;26;33;1461;4447
1823;23.09.2019;73;112;39;65;857;4800
1824;10.04.2019;48;62;14;77;1515;2132
1825;08.06.2019;87;96;9;90;4837;3224
1826;06.06.2019;68;103;35;66;3415;2258
1827;01.06.2019;94;126;32;74;826;622
1828;12.12.2019;61;64;3;95;4684;2618
1829;17.07.2019;52;81;29;64;2478;2827
1830;06.09.2019;97;113;16;85;4493;4699
1831;24.06.2019;92;93;1;98;2769;1883
1832;12.09.2019;86;89;3;96;2372;323
1833;21.11.2019;14;33;19;42;417;2575
1834;29.10.2019;37;64;27;57;2263;4940
1835;18.03.2020;22;52;30;42;1916;2555
1836;17.01.2020;96;117;21;82;885;1211
1837;28.04.2019;16;41;25;39;1604;70
1838;29.08.2019;34;62;28;54;4359;1881
1839;28.08.2019;31;45;14;68;3086;3219
1840;26.08.2019;16;20;4;80;1767;3905
1841;19.10.2019;93;95;2;97;1418;1715
1842;08.08.2019;63;69;6;91;486;4306
1843;02.12.2019;69;92;23;75;1187;1449
1844;20.08.2019;23;29;6;79;2786;3018
1845;17.04.2019;64;93;29;68;2562;4653
1846;24.12.2019;22;33;11;66;1455;4188
1847;08.03.2020;18;42;24;42;930;4071
1848;19.02.2020;8;48;40;16;3292;1037
1849;29.10.2019;19;52;33;36;457;3699
1850;24.09.2019;42;58;16;72;3556;2017
1851;13.06.2019;76;106;30;71;687;3312
1852;27.03.2020;67;100;33;67;4483;2663
1853;13.09.2019;98;112;14;87;688;4883
1854;05.04.2019;62;82;20;75;1648;2877
1855;26.09.2019;34;69;35;49;692;1606
1856;07.08.2019;74;113;39;65;2778;895
1857;14.02.2020;14;52;38;26;2843;4932
1858;20.04.2019;72;80;8;90;3319;4594
1859;05.02.2020;43;69;26;62;2174;2018
1860;20.09.2019;65;85;20;76;994;339
1861;03.12.2019;20;48;28;41;1518;934
1862;21.11.2019;68;99;31;68;608;3094
1863;30.10.2019;17;55;38;30;940;1658
1864;26.07.2019;62;94;32;65;4391;1586
1865;20.03.2020;70;93;23;75;3502;1940
1866;23.05.2019;61;83;22;73;721;2370
1867;07.03.2020;44;74;30;59;4558;2180
1868;26.09.2019;3;10;7;30;3279;3033
1869;24.05.2019;13;38;25;34;1046;4998
1870;23.08.2019;96;126;30;76;2171;4010
1871;07.05.2019;8;44;36;18;3264;2280
1872;31.01.2020;69;87;18;79;4580;2066
1873;19.11.2019;52;66;14;78;4352;1181
1874;17.02.2020;50;69;19;72;3192;291
1875;05.08.2019;21;51;30;41;4798;4745
