id;square_feet;address;city;province;telephone;postal_code;longitude;latitude;sales_outlet_type_id;manager_staff_id
1201;3331;234 Crownhardt Pass;San Francisco;CA;415-879-5675;94132;-122,4754;37,7211;2;396
1202;2752;93 Armistice Center;Santa Cruz;CA;831-171-7410;95064;-122,0578;36,9959;2;4942
1203;2611;8 Starling Park;Greenville;SC;864-643-0481;29615;-82,3198;34,8661;2;4564
1204;3042;9 Sachtjen Street;Houston;TX;713-802-8317;77299;-95,4342;29,834;1;2669
1205;3612;7948 Kingsford Way;Tampa;FL;813-320-4629;33610;-82,4046;27,9951;2;2974
1206;3495;8 Oak Valley Crossing;Mountain View;CA;650-601-7584;94042;-121,7053;37,1894;2;2790
1207;1975;07848 Ludington Road;Atlanta;GA;770-114-1133;30311;-84,4702;33,723;2;1883
1208;2868;8 John Wall Avenue;Akron;OH;330-593-8241;44305;-81,4644;41,076;2;1837
1209;1899;462 Acker Lane;El Paso;TX;915-112-8512;88563;-106,3;31,6948;2;2388
1210;3994;043 Coolidge Alley;Louisville;KY;502-725-9280;40256;-85,6768;38,189;1;4676
1211;3964;19225 Tony Lane;Midland;MI;989-711-2371;48670;-84,2568;43,6375;1;3413
1212;3399;66 Manitowish Park;Washington;DC;202-763-9056;20231;-77,0146;38,8933;1;1500
1213;3467;9 Longview Alley;Detroit;MI;734-609-4019;48258;-83,1508;42,2399;1;3416
1214;2149;85 Menomonie Avenue;Mobile;AL;251-835-7778;36641;-88,178;30,6589;2;186
1215;2526;1 Butternut Plaza;Houston;TX;832-162-0245;77030;-95,401;29,7041;2;2737
1216;3313;1 Bay Plaza;Pensacola;FL;850-815-0115;32520;-87,2035;30,4124;1;1457
1217;2763;1474 Monument Place;El Paso;TX;915-706-0057;79923;-106,3;31,6948;1;3419
1218;2394;0705 Manufacturers Street;Manassas;VA;434-425-0828;22111;-77,4391;38,7202;2;2761
1219;1425;49562 Warbler Park;Houston;TX;281-472-2164;77015;-95,1852;29,7853;2;384
1220;1459;560 Barby Road;Lexington;KY;859-500-2038;40581;-84,4715;38,0283;1;4215
1221;2299;1904 Buell Pass;Atlanta;GA;404-274-5850;31190;-84,4226;33,7629;2;4024
1222;3133;0 Division Drive;Spartanburg;SC;864-480-3821;29319;-81,969;34,8882;1;4275
1223;2075;8929 Meadow Valley Plaza;Philadelphia;PA;215-633-1350;19191;-75,1179;40,0018;1;2417
1224;2260;7 Farmco Terrace;Albuquerque;NM;505-281-5564;87195;-106,6729;35,0443;2;3133
1225;3887;27 Coolidge Center;Vancouver;WA;360-976-2308;98682;-122,5212;45,6644;1;2592
1226;3554;8941 Thierer Alley;Schaumburg;IL;708-269-8419;60193;-88,0935;42,0144;1;2633
1227;1938;62944 Kingsford Alley;Pasadena;CA;323-902-7163;91103;-118,1551;34,1669;1;84
1228;3341;246 Buena Vista Place;Charlotte;NC;704-215-8946;28289;-80,8042;35,26;2;99
1229;2387;593 Green Ridge Street;Lincoln;NE;402-448-0503;68583;-96,6888;40,7845;2;1861
1230;3899;83 Spenser Alley;Miami;FL;305-877-7320;33129;-80,2013;25,7559;2;4523
1231;1772;3 Duke Way;Morgantown;WV;304-679-2734;26505;-79,944;39,6505;1;4591
1232;1453;367 La Follette Lane;Round Rock;TX;512-742-1830;78682;-97,6026;30,6568;2;2119
1233;1910;970 Fairview Terrace;New York City;NY;212-240-6397;10131;-73,9772;40,7808;1;4888
1234;1218;99008 Pennsylvania Court;Corpus Christi;TX;361-642-5514;78410;-97,596;27,8458;2;757
1235;3177;87 Tennyson Crossing;Laurel;MD;301-288-7827;20709;-76,8777;38,8336;1;523
1236;2291;825 Loomis Point;Albany;NY;518-683-1130;12262;-73,9708;42,6149;2;126
1237;1517;0491 Badeau Trail;Huntsville;AL;256-833-6525;35810;-86,6091;34,7784;1;4276
1238;2946;2 Ilene Parkway;Boston;MA;617-831-0410;02203;-71,0604;42,3615;1;3756
1239;2937;0 Old Gate Alley;Cincinnati;OH;513-404-1931;45254;-84,5382;39,1668;2;3695
1240;3587;62777 Alpine Circle;Gaithersburg;MD;240-857-4807;20883;-77,1568;39,0883;2;3454
1241;1770;21194 Bluestem Pass;Clearwater;FL;813-575-9566;33758;-82,7248;27,8918;2;749
1242;3303;0 Old Shore Hill;Bryan;TX;979-295-7537;77806;-96,341;30,6521;2;3195
1243;2807;9943 Waywood Court;Des Moines;IA;515-239-1402;50936;-93,5722;41,6727;2;2978
1244;2341;94820 Anderson Park;Erie;PA;814-290-3722;16510;-79,9535;42,1087;2;3378
1245;2436;66 Shoshone Avenue;Saint Paul;MN;612-944-8705;55127;-93,0875;45,0803;1;3552
1246;3895;801 Roth Park;Idaho Falls;ID;208-311-1231;83405;-111,7822;43,3233;2;1772
1247;3954;900 Lakeland Trail;Muncie;IN;765-608-1799;47306;-85,4082;40,2023;2;641
1248;1522;3 Anthes Lane;Flint;MI;810-150-4631;48555;-83,7108;43,0113;1;67
1249;2290;12 Lerdahl Crossing;Spring Hill;FL;352-779-8014;34611;-82,4165;28,5642;1;1840
1250;1987;07873 Towne Way;Charlotte;NC;704-176-6024;28215;-80,7387;35,244;2;4731
1251;2615;4 Duke Center;Washington;DC;202-115-8735;20238;-77,0146;38,8933;2;1397
1252;2015;2 Center Drive;Sacramento;CA;916-190-1464;94257;-121,4444;38,3774;1;52
1253;2732;52374 Pepper Wood Circle;Hartford;CT;860-400-6439;06120;-72,6758;41,786;2;658
1254;2051;2845 Comanche Crossing;Galveston;TX;281-334-0915;77554;-94,9637;29,2243;1;4493
1255;2092;31508 Mockingbird Hill;Dallas;TX;214-866-8670;75236;-96,9177;32,69;1;4674
1256;3925;048 Trailsway Park;Mobile;AL;251-382-1565;36670;-88,178;30,6589;2;3414
1257;3607;8994 Tony Trail;Saint Paul;MN;651-798-0889;55172;-93,1059;45,0059;2;3954
1258;3639;31 East Way;Portsmouth;NH;603-864-6386;03804;-71,0132;43,0059;1;1979
1259;3200;6653 Golf Hill;Irvine;CA;714-724-6515;92612;-117,8264;33,6607;1;2385
1260;2779;09185 Spaight Lane;Mountain View;CA;650-258-2560;94042;-121,7053;37,1894;2;432
1261;2111;7 Hazelcrest Avenue;Houston;TX;281-529-3524;77050;-95,2848;29,9015;1;3257
1262;1477;83719 Corry Road;Des Moines;IA;515-902-0232;50347;-93,5722;41,6727;2;334
1263;3616;10 Leroy Pass;Madison;WI;608-510-8383;53726;-89,4239;43,0696;1;1641
1264;3028;344 Kipling Park;Topeka;KS;785-439-5521;66642;-95,7697;39,0429;1;3287
1265;3799;3 Longview Terrace;Kent;WA;206-761-8947;98042;-122,1206;47,368;1;3775
1266;1647;5497 Del Mar Junction;Minneapolis;MN;612-172-1697;55480;-93,4719;45,0159;1;2158
1267;2328;0 Johnson Alley;Hyattsville;MD;301-918-8282;20784;-76,8958;38,9513;1;3986
1268;1407;619 Vermont Avenue;Los Angeles;CA;213-524-8672;90035;-118,3806;34,0531;2;4429
1269;2672;1811 Shasta Avenue;Canton;OH;234-358-6437;44720;-81,433;40,8956;2;2333
1270;3254;872 Tennyson Place;Denver;CO;720-817-9093;80235;-105,0795;39,6472;1;4525
1271;2639;8 Park Meadow Park;Albuquerque;NM;505-827-0701;87195;-106,6729;35,0443;1;1240
1272;2899;590 Nelson Lane;Fresno;CA;559-103-6420;93709;-119,6397;36,7464;2;1380
1273;3801;219 Ridgeview Plaza;Katy;TX;281-494-0380;77493;-95,8298;29,8678;2;125
1274;2294;1 Granby Street;Saint Louis;MO;314-177-1239;63121;-90,3055;38,7072;2;765
1275;3079;30 Hazelcrest Pass;Fort Wayne;IN;260-969-6857;46857;-85,0707;41,0938;2;1978
1276;2564;8 Debra Junction;Fort Wayne;IN;260-260-6361;46857;-85,0707;41,0938;2;1457
1277;2562;487 Lighthouse Bay Way;Irvine;CA;714-547-2177;92612;-117,8264;33,6607;1;4115
1278;2781;3465 Buena Vista Point;New Haven;CT;203-584-3700;06505;-72,7799;41,3057;1;3143
1279;1872;15 Anhalt Terrace;Saint Paul;MN;612-427-4431;55127;-93,0875;45,0803;1;2637
1280;2732;236 Holmberg Pass;Saint Louis;MO;314-363-5883;63116;-90,2625;38,5814;2;2058
1281;1376;90 Towne Place;Corpus Christi;TX;361-973-0929;78426;-97,4632;27,777;2;4877
1282;2047;863 Corscot Lane;Wilmington;DE;302-660-2221;19805;-75,5827;39,7434;2;3507
1283;3890;3812 Marcy Avenue;Portland;OR;503-331-3068;97211;-122,6448;45,5653;1;3218
1284;3761;62326 Thompson Crossing;Portland;OR;503-302-8679;97201;-122,6897;45,5078;2;4067
1285;2377;3 Melvin Avenue;Harrisburg;PA;717-270-9024;17140;-76,8464;40,3086;2;916
1286;3343;543 Northport Alley;Philadelphia;PA;215-350-8154;19120;-75,1213;40,0343;2;2733
1287;3158;7314 Lyons Street;Long Beach;CA;562-118-5059;90805;-118,1801;33,8635;2;3624
1288;2190;531 Anniversary Alley;Atlanta;GA;770-300-4049;30316;-84,3339;33,7217;2;2716
1289;1962;312 Sommers Point;Iowa City;IA;319-184-6799;52245;-91,5151;41,6649;2;2597
1290;2413;2 Tennessee Trail;Youngstown;OH;330-661-6156;44511;-80,6931;41,0704;2;2608
1291;1855;33527 Fulton Point;Atlanta;GA;404-711-9778;30351;-84,474;33,8444;1;3685
1292;3457;49738 Bonner Plaza;South Bend;IN;574-724-2923;46620;-86,293;41,5968;2;717
1293;2493;07945 New Castle Avenue;Midland;TX;432-688-1679;79705;-102,0915;32,0295;2;3983
1294;1625;13 Union Junction;Erie;PA;814-572-6684;16510;-79,9535;42,1087;2;3948
1295;2741;0 Golden Leaf Junction;Sioux Falls;SD;605-118-5537;57110;-96,6332;43,5486;2;2851
1296;3985;7703 Sage Plaza;Lexington;KY;859-428-0388;40576;-84,4715;38,0283;1;2294
1297;3170;85 Loomis Alley;Evansville;IN;812-869-6627;47737;-87,575;37,9971;1;3004
1298;3182;00 Drewry Plaza;Jackson;MS;601-983-2022;39236;-90,3972;32,3113;2;2808
1299;2618;933 Gateway Lane;Sacramento;CA;916-155-9826;94263;-121,4444;38,3774;2;58
1300;3938;85906 Pleasure Place;Denver;CO;303-365-2948;80262;-104,9384;39,731;1;1210
1301;2674;2 Maywood Lane;Kansas City;MO;816-159-8625;64109;-94,5674;39,0663;2;2349
1302;1626;26911 Meadow Vale Alley;Lubbock;TX;806-480-6219;79410;-101,8904;33,5693;1;3157
1303;3037;465 4th Place;Houston;TX;832-106-8780;77060;-95,3981;29,9335;2;1237
1304;3184;7793 Atwood Center;Anchorage;AK;907-134-5712;99517;-149,9361;61,1901;2;4484
1305;1865;10 Glacier Hill Terrace;Columbus;OH;614-476-0187;43204;-83,078;39,9523;1;230
1306;3927;707 Northview Lane;Reno;NV;775-442-3957;89519;-119,8591;39,4814;2;2415
1307;1489;6 Aberg Plaza;Amarillo;TX;806-702-3950;79188;-101,8165;35,1885;1;4654
1308;3940;3 Golf Course Road;Scottsdale;AZ;480-324-2252;85271;-112,1872;33,2765;2;3217
1309;1811;8 Westerfield Avenue;Warren;OH;330-203-7584;44485;-80,8441;41,2405;1;2280
1310;2878;6645 Autumn Leaf Avenue;Houston;TX;713-822-1783;77234;-95,4342;29,834;2;1308
1311;1932;75438 Carpenter Terrace;Topeka;KS;785-576-7694;66622;-95,7697;39,0429;1;342
1312;2249;5029 Waywood Drive;New Orleans;LA;504-184-0770;70154;-89,8826;30,033;1;4045
1313;3000;4 Ronald Regan Drive;Katy;TX;281-789-8722;77493;-95,8298;29,8678;2;4191
1314;2666;294 Canary Crossing;Bronx;NY;718-584-3687;10469;-73,8495;40,8702;2;3581
1315;3992;824 Boyd Way;New York City;NY;212-152-0688;10105;-73,9785;40,7628;2;1881
1316;1515;6 Summer Ridge Pass;Louisville;KY;502-822-3550;40298;-85,6768;38,189;1;256
1317;1436;8 Bluejay Parkway;San Bernardino;CA;909-823-6896;92424;-115,9671;34,84;1;1894
1318;3562;2 Dixon Alley;New Haven;CT;203-957-7517;06505;-72,7799;41,3057;2;3047
1319;3029;807 Myrtle Crossing;Milwaukee;WI;414-852-3092;53234;-87,5697;43,0174;1;458
1320;1719;68510 Chinook Pass;Florence;SC;843-242-3565;29505;-79,6893;34,1231;1;769
1321;2434;5 Corben Plaza;Jersey City;NJ;201-763-9968;07310;-74,0431;40,7324;1;8
1322;1780;8847 Hintze Pass;Lubbock;TX;806-649-7086;79405;-101,8507;33,571;2;2955
1323;2643;7037 Michigan Pass;Mesquite;TX;214-358-3559;75185;-96,5618;32,7403;2;3739
1324;1768;89106 Straubel Road;Trenton;NJ;609-172-3273;08608;-74,7622;40,2204;2;299
1325;2008;7 Wayridge Plaza;Manassas;VA;434-261-1218;22111;-77,4391;38,7202;2;585
1326;3730;7421 Fieldstone Park;Kansas City;MO;816-257-7246;64136;-94,4008;39,0187;2;2471
1327;3286;9 Novick Plaza;New York City;NY;646-718-5083;10170;-73,9755;40,7526;2;482
1328;2881;68 Memorial Avenue;Cleveland;OH;216-314-5972;44191;-81,6728;41,6857;1;1825
1329;2730;87 Vahlen Trail;Berkeley;CA;510-845-2137;94705;-122,25;37,8571;2;739
1330;1453;2 Graedel Drive;Boulder;CO;303-511-1415;80328;-105,3735;40,0878;1;3040
1331;2868;601 4th Circle;Fort Worth;TX;817-166-6214;76129;-97,2915;32,7714;2;1559
1332;1254;4503 Stuart Terrace;Gainesville;FL;352-168-7432;32605;-82,3679;29,6785;2;4101
1333;1488;09656 Elmside Lane;Miami;FL;786-110-5192;33129;-80,2013;25,7559;1;2279
1334;3414;66311 Colorado Avenue;Peoria;IL;309-628-6214;61614;-89,6026;40,7681;1;2750
1335;2378;288 Cody Terrace;Hartford;CT;860-813-1795;06120;-72,6758;41,786;2;4821
1336;1602;74 Nova Center;Dallas;TX;214-660-3729;75265;-96,7776;32,7673;1;4798
1337;2942;4 Granby Park;Saint Augustine;FL;904-710-3452;32092;-81,5264;29,9475;1;2708
1338;1439;4 Graedel Junction;Spokane;WA;509-253-8920;99210;-117,4317;47,6536;1;213
1339;1267;8202 Packers Junction;Fresno;CA;559-100-1277;93709;-119,6397;36,7464;1;1256
1340;1632;38 Bonner Center;Alpharetta;GA;404-549-8358;30022;-84,2422;34,0268;2;3433
1341;1668;5506 Rigney Plaza;Shawnee Mission;KS;913-996-0950;66276;-94,832;38,8999;2;4225
1342;3843;0 Sunnyside Crossing;Boise;ID;208-671-6567;83711;-116,244;43,4599;2;1241
1343;1951;38 Veith Center;Gulfport;MS;228-132-3526;39505;-89,0684;30,4158;2;2752
1344;2571;367 Veith Road;Las Vegas;NV;702-235-1626;89160;-114,9721;35,9279;2;2761
1345;1392;9355 Larry Terrace;Tyler;TX;903-181-4240;75705;-95,1252;32,3766;2;4043
1346;2358;23 Linden Crossing;Norfolk;VA;757-347-7054;23520;-76,2397;36,9312;2;924
1347;3993;01 Debs Point;Asheville;NC;828-422-1565;28815;-82,5286;35,6203;1;1462
1348;2642;44027 1st Center;Los Angeles;CA;323-675-1166;90094;-118,417;33,9754;2;3833
1349;2619;1 Goodland Lane;Lubbock;TX;806-296-3007;79410;-101,8904;33,5693;2;4302
1350;1350;214 Hoepker Point;Charlotte;NC;704-208-6374;28247;-80,8511;35,0656;1;4700
1351;2505;5 High Crossing Terrace;Gulfport;MS;228-501-1034;39505;-89,0684;30,4158;2;2871
1352;3120;407 Maryland Alley;Trenton;NJ;609-336-7127;08603;-74,712;40,2805;2;1291
1353;2534;548 Rowland Trail;Dallas;TX;214-976-8309;75231;-96,7495;32,8756;2;2158
1354;3171;76442 Lerdahl Point;Miami;FL;305-473-4868;33142;-80,232;25,813;2;2448
1355;2895;19088 Elka Street;Philadelphia;PA;215-132-5166;19131;-75,2282;39,9845;1;1653
1356;2223;02074 West Point;Cleveland;OH;216-555-2373;44130;-81,7964;41,3826;2;3408
1357;1669;585 Northridge Terrace;San Francisco;CA;415-232-3973;94132;-122,4754;37,7211;2;1046
1358;1772;2 Rieder Parkway;Atlanta;GA;404-659-1273;31196;-84,474;33,8444;2;1654
1359;1871;8468 Basil Road;Wichita;KS;316-715-9566;67260;-97,2936;37,7194;1;4769
1360;1928;49 Welch Parkway;Johnstown;PA;814-263-6389;15906;-78,9383;40,3522;1;3173
1361;2154;5212 Red Cloud Parkway;North Hollywood;CA;213-618-0684;91616;-118,2987;33,7866;1;1497
1362;2313;1 Laurel Terrace;Lincoln;NE;402-551-3839;68505;-96,6252;40,8247;2;4128
1363;2993;8338 Basil Lane;Orlando;FL;407-522-8912;32891;-81,2608;28,5663;1;4256
1364;1596;05623 Forest Way;Vienna;VA;571-503-0483;22184;-77,2888;38,8318;2;932
1365;2746;75 Eagan Point;Omaha;NE;402-238-9818;68124;-96,0495;41,2338;2;4176
1366;3679;1 Becker Place;New York City;NY;212-840-4483;10270;-74,0082;40,7069;1;2613
1367;1657;367 Dakota Hill;Seattle;WA;360-887-1357;98104;-122,3256;47,6036;2;93
1368;3939;3 Fairview Court;Philadelphia;PA;215-662-1617;19196;-75,1179;40,0018;2;2725
1369;2298;0634 Meadow Ridge Place;Shreveport;LA;318-398-9516;71166;-93,7526;32,6076;1;1228
1370;3959;958 Jenifer Drive;Brooklyn;NY;347-348-4618;11241;-73,945;40,6451;1;3271
1371;2890;33104 Old Shore Park;Rockville;MD;240-490-7743;20851;-77,1234;39,0763;1;4721
1372;3498;83 Rieder Alley;Wichita;KS;316-351-9110;67236;-97,2871;37,5422;2;591
1373;3154;28 Village Way;Worcester;MA;508-866-8201;01654;-71,8969;42,3648;1;1488
1374;3347;860 Emmet Alley;San Antonio;TX;210-372-1756;78235;-98,4422;29,3494;2;2689
1375;2495;26258 Waubesa Trail;New Orleans;LA;504-537-5342;70129;-89,8462;30,0877;2;2985
1376;2139;6824 Columbus Center;Fresno;CA;559-202-7444;93773;-119,6397;36,7464;2;4349
1377;1607;51 Browning Center;Joliet;IL;815-949-9415;60435;-88,1299;41,5454;1;4867
1378;3188;581 Rigney Junction;Des Moines;IA;515-865-1657;50315;-93,6192;41,5444;1;4237
1379;3904;22 Monument Alley;Columbus;OH;614-739-2818;43215;-83,0044;39,9671;1;4302
1380;2169;2 Colorado Plaza;Washington;DC;703-784-3020;20041;-77,0146;38,8933;2;3977
1381;2498;02 Fulton Hill;San Antonio;TX;210-616-5719;78291;-98,4616;29,4375;1;1733
1382;3277;0 Michigan Street;Lubbock;TX;806-887-6995;79410;-101,8904;33,5693;1;1689
1383;2847;41 Hovde Drive;Topeka;KS;785-673-1319;66606;-95,7095;39,0583;2;3977
1384;3745;63 Rowland Point;Orlando;FL;321-690-7407;32813;-81,3258;28,5679;1;1076
1385;2231;41158 Continental Alley;Melbourne;FL;321-593-2486;32941;-80,5235;27,9246;2;3736
1386;1985;32620 Portage Circle;Lubbock;TX;806-145-2125;79405;-101,8507;33,571;1;1972
1387;1508;280 Farmco Junction;Des Moines;IA;515-899-1993;50315;-93,6192;41,5444;2;2870
1388;3793;2 Dahle Pass;Montgomery;AL;334-407-7278;36177;-86,2085;32,2334;2;3598
1389;2998;5 Clemons Drive;Phoenix;AZ;602-984-2050;85077;-112,1872;33,2765;1;4744
1390;2920;75 Reinke Crossing;Midland;TX;432-570-6945;79710;-102,0317;31,8693;1;1614
1391;3548;20670 Moulton Center;Harrisburg;PA;717-260-8866;17105;-76,8752;40,2785;1;323
1392;2549;73864 Homewood Street;Jackson;TN;731-139-3321;38308;-88,8412;35,6124;1;4854
1393;1524;8 Morrow Junction;Richmond;VA;804-705-7896;23203;-77,4471;37,5593;1;4013
1394;3904;18 Grasskamp Court;Birmingham;AL;205-117-8143;35242;-86,7046;33,3813;2;535
1395;3482;26387 Comanche Hill;Jacksonville;FL;904-417-4222;32225;-81,5061;30,351;2;638
1396;3778;4 Canary Drive;Orange;CA;949-509-4306;92867;-117,8493;33,811;2;1872
1397;3943;62825 Eggendart Junction;Atlanta;GA;770-426-5126;30301;-84,474;33,8444;1;735
1398;2023;32 Manley Trail;High Point;NC;336-844-6763;27264;-80,0244;36,0807;1;3426
1399;2901;98714 Namekagon Terrace;Indianapolis;IN;317-736-9782;46278;-86,2768;39,8726;2;4058
1400;2926;7467 Petterle Point;Minneapolis;MN;763-819-0741;55423;-93,2553;44,8756;1;213
1401;1886;7 Rieder Junction;Las Vegas;NV;702-713-5686;89125;-115,2655;36,2235;1;4916
1402;3776;5 Namekagon Court;Springfield;IL;217-696-7269;62756;-89,606;39,7495;1;4200
1403;2724;98849 Village Hill;Toledo;OH;419-841-5270;43635;-83,4394;41,6868;2;1577
1404;3568;652 Bluestem Court;Stockton;CA;209-878-0004;95210;-121,2972;38,025;2;2662
1405;2157;2 Hermina Circle;Charlotte;NC;704-493-9402;28256;-80,8042;35,26;2;2526
1406;3323;62207 Sherman Point;El Paso;TX;915-382-7789;88589;-106,3;31,6948;1;4086
1407;2293;449 Mockingbird Parkway;Amarillo;TX;806-159-4783;79188;-101,8165;35,1885;2;2132
1408;1845;7631 Maywood Crossing;Oklahoma City;OK;405-782-7598;73173;-97,6317;35,3425;1;1668
1409;1693;88004 Lawn Hill;Saint Louis;MO;314-354-9502;63131;-90,4504;38,6171;2;1654
1410;2721;436 Green Ridge Terrace;Oklahoma City;OK;405-277-1782;73147;-97,4075;35,5514;1;3227
1411;1230;1 Wayridge Lane;Newton;MA;857-669-2562;02458;-71,1875;42,3528;2;2798
1412;2905;97911 Coolidge Street;Memphis;TN;901-433-3593;38181;-89,9715;35,2017;2;2910
1413;3506;4 Grover Street;Ogden;UT;801-865-0340;84409;-111,9567;41,2553;1;3778
1414;1896;832 Nelson Road;Minneapolis;MN;763-673-2163;55446;-93,4865;45,04;2;1392
1415;2027;47419 Memorial Terrace;Toledo;OH;419-429-8850;43656;-83,4972;41,6782;1;3201
1416;1685;957 Spaight Street;Wilmington;NC;910-848-1358;28410;-77,8526;34,0881;2;1242
1417;2095;5667 Washington Place;Buffalo;NY;716-599-7274;14205;-78,8871;42,7684;2;1542
1418;2017;65 Northview Street;Boston;MA;978-372-6246;02283;-70,9196;42,3389;1;2584
1419;2784;79084 Claremont Road;Worcester;MA;508-230-1626;01605;-71,7888;42,2894;1;3806
1420;2078;9 Talmadge Drive;Omaha;NE;712-579-6941;68134;-96,0546;41,2949;2;1365
1421;2745;5 Scoville Junction;Oceanside;CA;760-619-8280;92056;-117,2831;33,1968;1;499
1422;1900;38166 Rockefeller Trail;Saint Louis;MO;314-160-6488;63126;-90,3811;38,5495;2;4138
1423;3830;475 Bellgrove Drive;Providence;RI;401-417-0195;02912;-71,3977;41,8267;2;4195
1424;2329;32 Pepper Wood Plaza;Stamford;CT;203-910-1219;06922;-73,5143;41,0516;1;4230
1425;3330;65150 Orin Junction;Oklahoma City;OK;405-941-8969;73190;-97,4075;35,5514;2;545
1426;1975;7 Elmside Point;Fort Worth;TX;817-728-5674;76147;-97,2915;32,7714;1;1414
1427;3561;33767 Waubesa Street;Fort Lauderdale;FL;954-598-5082;33325;-80,3215;26,1097;2;3134
1428;2094;170 Macpherson Avenue;New York City;NY;917-697-2948;10039;-73,9383;40,8265;1;1650
1429;2567;3 Green Ridge Hill;Fredericksburg;VA;540-219-4572;22405;-77,4366;38,3365;1;773
1430;2512;81950 Comanche Pass;Saint Petersburg;FL;813-282-8136;33705;-82,6435;27,7391;1;4410
1431;1670;2365 Loftsgordon Road;Wilmington;DE;302-608-4354;19886;-75,597;39,5645;2;465
1432;2420;6441 Bluestem Crossing;Saint Cloud;MN;320-941-6534;56372;-94,5933;45,5289;2;148
1433;1431;152 Rowland Street;New York City;NY;917-408-2623;10110;-73,9808;40,754;2;3394
1434;2174;1 Anhalt Circle;Washington;DC;202-267-2092;56944;-77,0365;38,8952;2;1852
1435;3533;9826 Oneill Drive;Erie;PA;814-899-2425;16510;-79,9535;42,1087;2;2918
1436;2054;931 4th Court;Tulsa;OK;918-996-0052;74103;-95,9954;36,1539;1;2615
1437;1358;21 Di Loreto Hill;Lexington;KY;859-324-6614;40596;-84,4715;38,0283;1;848
1438;3493;35403 Nobel Way;Midland;TX;432-977-5404;79705;-102,0915;32,0295;1;1295
1439;1643;272 Carey Trail;Richmond;VA;804-770-6240;23260;-77,4932;37,5242;2;4000
1440;3526;55 Eagle Crest Avenue;Frankfort;KY;502-117-9639;40618;-84,8748;38,2341;1;4685
1441;2172;60 Green Ridge Point;Silver Spring;MD;240-271-8334;20918;-77,2076;39,144;2;4077
1442;3966;337 Jenifer Point;Trenton;NJ;609-422-8918;08650;-74,712;40,2805;1;2303
1443;1688;104 Dwight Plaza;Largo;FL;727-280-3265;34643;-82,7619;27,881;2;1033
1444;2736;3 Anhalt Road;Pensacola;FL;850-904-2229;32526;-87,3179;30,4756;2;2847
1445;1983;0502 Nancy Way;Nashville;TN;615-238-2651;37240;-86,7852;36,1866;2;733
1446;2677;84823 Golf Course Court;Chicago;IL;312-965-3242;60669;-87,6873;41,8119;2;681
1447;2187;7 Raven Lane;Cedar Rapids;IA;319-618-9100;52410;-91,5992;42,0794;2;120
1448;3208;76130 Anzinger Park;Durham;NC;919-321-2888;27710;-78,8577;36,0512;1;2356
1449;2677;3 Tennessee Pass;New Haven;CT;203-102-7699;06510;-72,9271;41,3087;1;3436
1450;2198;7948 Browning Lane;Oakland;CA;510-678-3745;94660;-121,9215;37,6802;1;4061
1451;1335;6041 Meadow Vale Place;Albany;NY;518-547-6275;12247;-73,9708;42,6149;1;1180
1452;1967;017 Forest Dale Parkway;New York City;NY;212-470-8774;10184;-73,9772;40,7808;1;1811
1453;3116;8 Pleasure Pass;Little Rock;AR;501-605-6508;72204;-92,344;34,7269;2;4674
1454;3455;6777 Golf Course Avenue;Durham;NC;919-699-7895;27705;-78,9478;36,0218;2;2653
1455;1554;64705 Pearson Hill;Inglewood;CA;310-938-0258;90398;-118,2987;33,7866;2;2790
1456;3217;38518 Barby Circle;Raleigh;NC;919-628-5216;27626;-78,6253;35,7977;2;756
1457;1891;9507 Rockefeller Crossing;San Jose;CA;408-489-8246;95133;-121,856;37,3729;1;228
1458;1666;68 Manitowish Drive;Richmond;VA;804-868-9543;23272;-77,4932;37,5242;1;1851
1459;3868;11664 Merrick Drive;Denver;CO;720-936-9278;80235;-105,0795;39,6472;1;4377
1460;2734;137 Lerdahl Parkway;Flint;MI;810-593-1617;48550;-83,6887;43,0349;1;4947
1461;1222;440 Northfield Drive;Tyler;TX;903-214-6146;75705;-95,1252;32,3766;1;264
1462;2114;71071 Russell Street;Syracuse;NY;315-616-0310;13217;-76,1977;43,0214;2;2753
1463;3120;7607 Gateway Avenue;Corpus Christi;TX;361-572-9611;78426;-97,4632;27,777;2;3468
1464;3634;4075 Tennessee Point;Terre Haute;IN;812-585-6256;47805;-87,3255;39,5327;1;419
1465;3597;75731 Amoth Plaza;Canton;OH;330-533-8735;44710;-81,4169;40,7911;2;540
1466;2154;7384 Oriole Parkway;Houston;TX;713-937-2605;77260;-95,3867;29,7687;2;11
1467;2549;082 Stephen Place;Youngstown;OH;330-676-6407;44511;-80,6931;41,0704;2;3086
1468;1270;29498 Harper Street;Flushing;NY;347-953-2774;11355;-73,8226;40,7536;2;2269
1469;1867;30169 Mesta Center;Arlington;VA;571-286-6231;22212;-77,113;38,8808;2;1666
1470;1995;4291 High Crossing Place;Reno;NV;775-201-1588;89550;-119,8225;39,5387;2;4411
1471;3860;262 Derek Crossing;Fort Worth;TX;682-748-0281;76178;-97,2915;32,7714;2;271
1472;2878;6176 Southridge Junction;York;PA;717-524-7338;17405;-76,5972;40,0086;2;897
1473;1526;0 Harbort Road;Cincinnati;OH;513-263-8662;45213;-84,4204;39,1802;2;2749
1474;2463;7 Truax Park;Grand Rapids;MI;616-593-3984;49510;-85,5503;43,0314;2;4744
